SD initialization failed!
Is there an SD card inserted?
603 1520840 184 31.36 3176 23.58
604 1523111 96 21.67 3181 23.48
605 1523570 58 17.10 3186 23.58
606 1524903 56 16.76 3192 23.48
607 1531290 69 18.79 3198 23.80
608 1531540 134 24.82 3204 24.01
609 1531790 255 43.96 3210 23.80
610 1534187 93 21.41 3215 23.80
611 1534291 188 32.01 3221 23.80
612 1535517 63 17.91 3226 23.48
613 1538489 202 34.38 3232 23.69
614 1542246 76 19.69 3237 23.91
615 1543513 53 16.22 3242 23.69
616 1548960 63 17.91 3248 23.80
617 1550807 96 21.67 3254 23.80
618 1553634 76 19.69 3260 23.48
619 1554562 53 16.22 3266 23.91
620 1555423 198 33.69 3272 23.80
621 1556567 281 48.90 3278 24.01
622 1559029 49 15.48 3284 23.69
623 1560188 142 25.64 3290 23.58
624 1560307 371 73.82 3296 23.48
625 1560786 387 81.05 3302 24.12
626 1564562 103 22.23 3308 23.58
627 1566191 49 15.48 3313 23.48
628 1566497 188 32.01 3319 23.69
629 1566564 85 20.67 3325 24.01
630 1567170 103 22.23 3331 23.80
631 1569944 53 16.22 3337 23.48
632 1570973 115 23.18 3343 23.80
633 1572306 67 18.51 3349 23.58
634 1576814 147 26.19 3355 23.48
635 1579524 49 15.48 3361 23.48
636 1582367 99 21.91 3367 23.80
637 1583367 78 19.92 3372 23.80
638 1584365 63 17.91 3378 23.80
639 1585821 56 16.76 3384 23.48
640 1586369 97 21.75 3390 23.58
641 1588367 224 38.29 3396 23.69
642 1589480 70 18.93 3403 23.48
643 1589649 103 22.23 3409 23.69
644 1589663 127 24.18 3415 23.58
645 1596969 108 22.63 3421 23.37
646 1598941 103 22.23 3427 23.80
647 1599151 135 24.92 3433 23.69
648 1602734 261 45.09 3439 23.48
649 1605184 199 33.86 3447 23.48
650 1605530 48 15.29 3454 23.69
651 1607664 56 16.76 3460 23.37
652 1609322 319 57.64 3466 23.48
653 1611008 62 17.75 3472 23.69
654 1612432 62 17.75 3478 23.48
655 1612876 60 17.43 3485 23.58
656 1619943 112 22.94 3491 24.01
657 1621627 353 67.64 3498 23.48
658 1623419 204 34.73 3504 23.48
659 1625762 97 21.75 3511 23.58
660 1626062 56 16.76 3518 23.69
661 1626407 83 20.46 3527 23.69
